face,embedding,cluster
face_id_22,"[-0.08886052668094635, 0.08188224583864212, 0.009317943826317787, -0.14899735152721405, -0.2082795798778534, 0.0072964816354215145, -0.05780795216560364, -0.11464464664459229, 0.1685958206653595, -0.10327494889497757, 0.21719743311405182, -0.005947879981249571, -0.2827812731266022, -0.07676739245653152, 0.06162497401237488, 0.12013589590787888, -0.07093559950590134, -0.058038488030433655, -0.10532737523317337, -0.0994499996304512, -0.09345585107803345, 0.04361824691295624, 0.026197129860520363, 0.06282158195972443, -0.09261616319417953, -0.23247100412845612, -0.08910845965147018, -0.07485248893499374, 0.045989274978637695, -0.009324909187853336, 0.0017043016850948334, 0.11032500118017197, -0.1601628065109253, -0.10445170104503632, 0.05925235152244568, 0.15065361559391022, -0.16012655198574066, -0.05469948425889015, 0.162213534116745, -0.09135816991329193, -0.10187071561813354, 0.032704271376132965, 0.00662053469568491, 0.22536370158195496, 0.1669720858335495, -0.01667749509215355, 0.06481456756591797, -0.11346667259931564, 0.15910540521144867, -0.23063114285469055, 0.10747472941875458, 0.161966472864151, 0.09500182420015335, 0.07923223078250885, 0.04167908430099487, -0.0996684804558754, 0.09122820198535919, 0.23399685323238373, -0.2300257682800293, 0.043140701949596405, 0.10794976353645325, -0.07984358817338943, -0.08093966543674469, -0.07497664541006088, 0.21711286902427673, 0.12440618127584457, -0.13394294679164886, -0.2001805156469345, 0.15984001755714417, -0.16742390394210815, -0.0938587337732315, 0.07545647025108337, -0.16347289085388184, -0.16101831197738647, -0.27969253063201904, 0.11230364441871643, 0.3374013304710388, 0.1586478352546692, -0.1694670021533966, 0.0146940341219306, -0.04832575470209122, -0.0757642537355423, 0.0050140381790697575, 0.07607152312994003, -0.007931981235742569, -0.18933787941932678, -0.051052749156951904, 0.01271971594542265, 0.22603484988212585, -0.10936552286148071, 0.036812424659729004, 0.26567772030830383, 0.13646775484085083, 0.007515635807067156, -0.024447239935398102, 0.039256151765584946, -0.07810387015342712, -0.014379317872226238, -0.09873450547456741, 0.06306907534599304, 0.019199993461370468, -0.11020047217607498, -0.016610510647296906, 0.09158625453710556, -0.19140788912773132, 0.2918919324874878, 0.003945657052099705, -0.0006843089358881116, 0.01348886825144291, -0.08476213365793228, -0.06785149872303009, -0.07062210887670517, 0.2058064043521881, -0.2441970258951187, 0.23871108889579773, 0.1487191617488861, 0.1257285326719284, 0.14051373302936554, 0.05021051689982414, 0.08562090992927551, 0.06820517033338547, -0.020367717370390892, -0.1585017591714859, -0.11825357377529144, 0.06790237873792648, -0.07993696630001068, -0.04328769072890282, 0.09216482937335968]",6
face_id_23,"[-0.15946978330612183, 0.052359696477651596, 0.10691843181848526, -0.11466308683156967, -0.14521430432796478, 0.014101408421993256, 0.010244951583445072, -0.08488094061613083, 0.18627388775348663, -0.021930212154984474, 0.11376263201236725, 0.042959295213222504, -0.18445788323879242, -0.0018558449810370803, -0.04900931566953659, 0.13365668058395386, -0.13138826191425323, -0.1695379912853241, -0.13845375180244446, -0.12530100345611572, -0.04231656715273857, 0.04126545786857605, -0.008994304575026035, -0.0003519956662785262, -0.15759079158306122, -0.23405900597572327, -0.047027621418237686, -0.06139858067035675, 0.05497318506240845, -0.01341222319751978, 0.0002720450866036117, 0.16865946352481842, -0.1833917796611786, 0.04246888682246208, 0.06824159622192383, 0.11125509440898895, -0.10545261949300766, -0.056959617882966995, 0.20442292094230652, -0.07054544240236282, -0.17335645854473114, 0.050516869872808456, 0.08107414841651917, 0.1779218167066574, 0.27983418107032776, -0.03005494363605976, 0.010964942164719105, -0.11412591487169266, 0.13413721323013306, -0.32642850279808044, 0.002477095928043127, 0.2134251445531845, -0.003391959937289357, 0.0666600689291954, 0.07163132727146149, -0.21578453481197357, -0.0018313624896109104, 0.131094828248024, -0.2050662338733673, 0.04890616983175278, -0.01833713799715042, -0.20623405277729034, -0.14612747728824615, -0.15621021389961243, 0.13599324226379395, 0.16189038753509521, -0.15157780051231384, -0.2457544058561325, 0.20468926429748535, -0.16248399019241333, 0.01214208547025919, 0.18776777386665344, -0.10448743402957916, -0.16123494505882263, -0.2266426980495453, 0.019739439710974693, 0.46849143505096436, 0.16461873054504395, -0.17611202597618103, 0.039622072130441666, -0.1388104110956192, -0.05790479853749275, -0.028980592265725136, 0.04663877189159393, -0.07742533832788467, -0.1360159069299698, -0.13523699343204498, -0.00412650965154171, 0.21398983895778656, -0.017687605693936348, -4.460873606149107e-05, 0.164582759141922, 0.07231882959604263, 0.027643129229545593, -0.09072350710630417, 0.0806254893541336, -0.16155169904232025, -0.042523883283138275, -0.1445864588022232, -0.08874481171369553, -0.05020049214363098, -0.031954098492860794, -0.015037531033158302, 0.14444778859615326, -0.11735542118549347, 0.26310503482818604, -0.015861954540014267, -0.018199941143393517, -0.09179205447435379, -0.10749179124832153, 0.030430132523179054, 0.06216845661401749, 0.15392130613327026, -0.26354867219924927, 0.1882745325565338, 0.13205108046531677, 0.03147611767053604, 0.17088468372821808, 0.048780590295791626, 0.0640747994184494, -0.04740983620285988, -0.017946165055036545, -0.17903566360473633, -0.06462700664997101, 0.004796870984137058, -0.08225951343774796, 0.019771089777350426, 0.07408852875232697]",3
face_id_24,"[-0.06991469860076904, 0.10616685450077057, 0.1393810659646988, -0.1091354638338089, -0.18941308557987213, 0.13728295266628265, -0.034308213740587234, -0.09635976701974869, 0.1709214150905609, -0.0268083568662405, 0.2699533998966217, -0.02793744020164013, -0.2802658975124359, -0.060007210820913315, 0.02379404380917549, 0.10757407546043396, -0.15728887915611267, -0.09413747489452362, -0.028887556865811348, -0.05771656334400177, -0.023215819150209427, 0.024657677859067917, -0.0011076006339862943, -0.02198483608663082, -0.1287095695734024, -0.36667582392692566, -0.07714442908763885, -0.07439793646335602, 0.0618758387863636, -0.07262034714221954, -0.009785739704966545, 0.13635897636413574, -0.17386241257190704, -0.0473288856446743, -0.014596795663237572, 0.06264211237430573, -0.08354244381189346, -0.07003370672464371, 0.16509881615638733, -0.0917530357837677, -0.13379843533039093, -0.014693645760416985, 0.03651147708296776, 0.18245956301689148, 0.16100265085697174, 0.04038764163851738, 0.04887441173195839, -0.049930889159440994, 0.11603360623121262, -0.27075839042663574, 0.12727701663970947, 0.15480536222457886, 0.09443303197622299, 0.03356263414025307, 0.13965082168579102, -0.17834903299808502, -0.04250355437397957, 0.1663437783718109, -0.1176547110080719, 0.10867913067340851, 0.04247722774744034, -0.07669796049594879, 0.0588238388299942, -0.17191095650196075, 0.2276311069726944, 0.07664753496646881, -0.07858230918645859, -0.1144171804189682, 0.1905137449502945, -0.02220771461725235, -0.09445740282535553, 0.07507359236478806, -0.15047447383403778, -0.1675592064857483, -0.3101685047149658, 0.08022593706846237, 0.4327898919582367, 0.15179723501205444, -0.25710824131965637, -0.0386454276740551, -0.05775434151291847, -0.08806293457746506, 0.07858095318078995, 0.06274566054344177, 0.00191511120647192, -0.13536550104618073, -0.11836738884449005, -0.019635828211903572, 0.26713046431541443, -0.04108148813247681, -0.02833639644086361, 0.23790930211544037, 0.023739049211144447, 0.07263718545436859, -0.03228806331753731, 0.020120788365602493, -0.06685730814933777, 0.023396585136651993, -0.1561332792043686, 0.030223680660128593, -0.04622027277946472, -0.04811602830886841, -0.06841669231653214, 0.1631966084241867, -0.14659610390663147, 0.18876539170742035, 0.034689728170633316, -0.0007021823548711836, -0.058792926371097565, -0.06771472841501236, -0.07727733999490738, 0.02856464870274067, 0.22554409503936768, -0.30742257833480835, 0.19192536175251007, 0.12483176589012146, 0.052787404507398605, 0.16464921832084656, 0.03738260641694069, 0.0656164214015007, 0.032618988305330276, -0.08202254772186279, -0.20029045641422272, -0.09785392880439758, 0.09611828625202179, -0.11121343821287155, -0.012529376894235611, 0.12659621238708496]",5
face_id_25,"[-0.1476055383682251, 0.010766795836389065, 0.03140346705913544, -0.08613009750843048, -0.1721498817205429, -0.02014789916574955, 0.020287837833166122, -0.08951981365680695, 0.19203783571720123, -0.07400722801685333, 0.14610594511032104, -0.019585998728871346, -0.21995337307453156, 0.04611439257860184, -0.08105828613042831, 0.19558273255825043, -0.16716502606868744, -0.1543586552143097, -0.15127383172512054, -0.17258292436599731, -0.031442441046237946, 0.09765616059303284, -0.03504644334316254, 0.053239092230796814, -0.17959120869636536, -0.18419556319713593, -0.04390805587172508, -0.018984416499733925, 0.08576291799545288, -0.01850239932537079, -3.527023727656342e-05, 0.21947452425956726, -0.10441823303699493, 0.02886880747973919, 0.12807811796665192, 0.09795968234539032, 0.0077332425862550735, -0.0855894684791565, 0.15787914395332336, -0.08544877171516418, -0.18406125903129578, 0.03004458360373974, 0.18385593593120575, 0.19550877809524536, 0.2213771641254425, -0.01212767232209444, 0.020280538126826286, -0.10620538145303726, 0.058494169265031815, -0.3212921917438507, -0.029644019901752472, 0.1398918181657791, 0.07842381298542023, 0.05143776908516884, 0.07654593139886856, -0.24679286777973175, -0.01643400825560093, 0.1513705998659134, -0.190257728099823, 0.02751442790031433, 0.021654920652508736, -0.16546644270420074, -0.07346046715974808, -0.12459901720285416, 0.16226452589035034, 0.11898525059223175, -0.1505793184041977, -0.2344098538160324, 0.16988755762577057, -0.22770407795906067, -0.05103529617190361, 0.1605953872203827, -0.06647839397192001, -0.15078923106193542, -0.27953556180000305, -0.025033455342054367, 0.36582231521606445, 0.20579804480075836, -0.12871696054935455, 0.10554490983486176, -0.04824521392583847, -0.0076288338750600815, -0.04840374365448952, 0.03767457604408264, -0.10578837990760803, -0.12427683174610138, -0.1364632248878479, -0.016276519745588303, 0.22497554123401642, -0.011340981349349022, 0.008942527696490288, 0.17383445799350739, 0.08057798445224762, -0.0695701465010643, -0.07622523605823517, 0.09472827613353729, -0.1627347767353058, -0.06734083592891693, -0.06499067693948746, -0.06588693708181381, -0.014112933538854122, -0.009787806309759617, 0.03732221946120262, 0.13991472125053406, -0.16742005944252014, 0.21487899124622345, -0.11376437544822693, -0.05974775180220604, -0.0831570103764534, -0.04926539212465286, 0.055427391082048416, 0.07231076061725616, 0.14931239187717438, -0.28324198722839355, 0.11896190047264099, 0.15575039386749268, 0.032031718641519547, 0.19007501006126404, 0.019988389685750008, 0.07119722664356232, -0.027903348207473755, 0.009112709201872349, -0.10819988697767258, -0.12154068052768707, 0.009169141761958599, -0.17586779594421387, 0.0612732395529747, 0.08643073588609695]",3
face_id_26,"[-0.0293648149818182, 0.06460084021091461, 0.03865988925099373, 0.03548993542790413, 0.0132351228967309, 0.004707977641373873, -0.04981711134314537, -0.13316552340984344, 0.06414613872766495, -0.09781724214553833, 0.2963215708732605, -0.12313440442085266, -0.1499820500612259, -0.17412108182907104, -0.030379343777894974, 0.15730981528759003, -0.23094698786735535, -0.045617375522851944, -0.07027588784694672, -0.007040138356387615, 0.07150181382894516, -0.00026728305965662, 0.018770696595311165, -0.0022274598013609648, -0.11431632936000824, -0.31008872389793396, -0.08876933157444, -0.10217634588479996, 0.0798112004995346, -0.058846764266490936, -0.07463589310646057, 0.0733850970864296, -0.17090880870819092, -0.04771074652671814, 0.039117481559515, 0.06516022980213165, 0.010546060279011726, -0.029850732535123825, 0.17231354117393494, 0.021042823791503906, -0.15879307687282562, 0.09261643886566162, -0.022186456248164177, 0.2646002173423767, 0.21933098137378693, 0.018477652221918106, -0.033016350120306015, -0.1749192774295807, 0.18930578231811523, -0.13565142452716827, -0.0013716594548895955, 0.16194027662277222, 0.10231731086969376, 0.09223753213882446, -0.02537122182548046, -0.08590313792228699, 0.05899888649582863, 0.08863437175750732, -0.1484004706144333, -0.02730504982173443, 0.07315633445978165, -0.10262283682823181, 0.011404191143810749, -0.052330613136291504, 0.15197283029556274, 0.0442076101899147, -0.09085207432508469, -0.2237274944782257, 0.12305913865566254, -0.09471210837364197, -0.05313477665185928, 0.06741913408041, -0.15379248559474945, -0.1301461011171341, -0.35247790813446045, 0.01258501224219799, 0.418384313583374, 0.07656548917293549, -0.23325347900390625, 0.041381172835826874, -0.11786113679409027, -0.013599301688373089, 0.18602001667022705, 0.1709020435810089, 0.008830754086375237, -0.035194724798202515, -0.0736229345202446, -0.023574525490403175, 0.14993906021118164, -0.08559159189462662, -0.05125671252608299, 0.17832691967487335, -0.025042148306965828, 0.08582399785518646, 0.046175312250852585, -0.028194906190037727, -0.08818873763084412, 0.06967563927173615, -0.08629544079303741, -0.0186234712600708, -0.008895698934793472, -0.04466784745454788, 0.031392067670822144, 0.13326740264892578, -0.1448342204093933, 0.18761292099952698, 0.022166820243000984, 0.07485739141702652, 0.11491236835718155, -0.026304300874471664, -0.047060299664735794, -0.028153812512755394, 0.10461756587028503, -0.311110258102417, 0.1688522845506668, 0.1432696133852005, 0.07774157077074051, 0.10878969728946686, 0.1034289225935936, 0.1515212506055832, -0.07883473485708237, 0.040673911571502686, -0.24622204899787903, -0.003651851322501898, 0.04990440607070923, 0.027604486793279648, 0.010612373240292072, -0.03995543345808983]",13
face_id_27,"[-0.10758824646472931, 0.15050725638866425, 0.04084306210279465, -0.005179463420063257, -0.19970081746578217, 0.0657738447189331, -0.08503984659910202, -0.12523530423641205, 0.15504759550094604, -0.056326139718294144, 0.23689329624176025, -0.004599906969815493, -0.2843308448791504, 0.011642980389297009, -0.03132965788245201, 0.1561315804719925, -0.11275312304496765, -0.06302373111248016, -0.15546870231628418, -0.10046898573637009, 0.042199283838272095, 0.02749241515994072, 0.07834472507238388, 0.0012256279587745667, -0.14864759147167206, -0.2832905352115631, -0.07332159578800201, -0.07580652832984924, 0.18191765248775482, -0.08207601308822632, 0.018754743039608, 0.0010813144035637379, -0.1504504680633545, -0.05938731133937836, 0.013270638883113861, 0.09987456351518631, -0.01869303733110428, -0.0667111948132515, 0.20516493916511536, -0.056423213332891464, -0.17250777781009674, -0.014370476827025414, 0.0014179222052916884, 0.2005355954170227, 0.09629213064908981, 0.06869574636220932, 0.11885598301887512, -0.061167724430561066, 0.10131865739822388, -0.27254050970077515, 0.11776291579008102, 0.048425786197185516, 0.15693099796772003, 0.04096340388059616, 0.09635649621486664, -0.24432747066020966, -0.004875613376498222, 0.2396768182516098, -0.18578273057937622, 0.14361721277236938, 0.12073871493339539, -0.04057639464735985, -0.07298865914344788, -0.11552943289279938, 0.2108667939901352, 0.1631927341222763, -0.10467946529388428, -0.16890278458595276, 0.2530733644962311, -0.11147642880678177, -0.024332650005817413, 0.144112691283226, -0.08549570292234421, -0.13234791159629822, -0.32481053471565247, 0.00977130327373743, 0.5065139532089233, 0.15857486426830292, -0.19417117536067963, -0.14418752491474152, -0.008773722685873508, 0.03765759617090225, 0.01933341845870018, 0.006665524560958147, -0.08675678074359894, -0.10926587134599686, -0.1045134887099266, -0.0039291693829, 0.21080906689167023, -0.03054613620042801, -0.039389822632074356, 0.2242932766675949, 0.10460513085126877, 0.06060809642076492, -0.051783543080091476, 0.08792505413293839, -0.08578532189130783, -0.03903944417834282, -0.04112592712044716, 0.06756074726581573, -0.00505030108615756, -0.09929540008306503, 0.015042335726320744, 0.1016034260392189, -0.12506341934204102, 0.203926682472229, -0.03821047395467758, 0.017837515100836754, -0.01759091019630432, 0.08301670849323273, -0.10025334358215332, 0.0012204608647152781, 0.2586991488933563, -0.29384005069732666, 0.18590736389160156, 0.24714943766593933, 0.011519244872033596, 0.10863585770130157, 0.0301564522087574, 0.13629643619060516, 0.049544960260391235, 0.009993324987590313, -0.22405394911766052, -0.1644126921892166, -0.01944141834974289, -0.21017612516880035, -0.05638179928064346, 0.12216660380363464]",14
face_id_28,"[0.014033875428140163, 0.041568707674741745, 0.033326659351587296, -0.019606882706284523, 0.012455491349101067, -0.011850547976791859, -0.05750512704253197, -0.11558675765991211, 0.0839984342455864, -0.10391319543123245, 0.28981101512908936, -0.08163285255432129, -0.1276472955942154, -0.15807512402534485, -0.026213569566607475, 0.1576738804578781, -0.20964524149894714, -0.05782390758395195, -0.09534204006195068, -0.042043302208185196, 0.040899425745010376, 0.015818195417523384, 0.04547954350709915, -0.009064224548637867, -0.10298702865839005, -0.3339230418205261, -0.08134081959724426, -0.08918306976556778, 0.1013113334774971, -0.04363909736275673, -0.060118358582258224, 0.011811693198978901, -0.22767968475818634, -0.0639742761850357, 0.058489181101322174, 0.0633072480559349, -0.006971925962716341, -0.019503241404891014, 0.16489534080028534, 0.06709905713796616, -0.17128045856952667, 0.13887766003608704, -0.01846296712756157, 0.21702800691127777, 0.1675703078508377, -0.006844028830528259, 0.042032305151224136, -0.18606233596801758, 0.14011463522911072, -0.09035378694534302, -0.03271230310201645, 0.17478100955486298, 0.08830536901950836, 0.08419746905565262, -0.029064815491437912, -0.0025907077360898256, 0.02840792015194893, 0.12581543624401093, -0.14242859184741974, 0.02289608307182789, 0.10717163980007172, -0.06161236763000488, 0.02189887873828411, -0.024141138419508934, 0.11720696091651917, 0.0009396685636602342, -0.09199598431587219, -0.23180806636810303, 0.10036233067512512, -0.09987818449735641, -0.0437258742749691, 0.07795227319002151, -0.10715292394161224, -0.1370418220758438, -0.28943824768066406, 0.04124215245246887, 0.419420450925827, 0.04136742278933525, -0.16964443027973175, 0.04333933815360069, -0.15792986750602722, -0.060610588639974594, 0.12473292648792267, 0.11030630767345428, 0.01818203553557396, 0.012254822067916393, -0.0385277234017849, 0.038558993488550186, 0.214111328125, -0.08585064858198166, 0.010231077671051025, 0.15994128584861755, -0.0391264483332634, 0.07915280014276505, 0.019520293921232224, 0.0300906952470541, -0.11770080029964447, 0.08192949742078781, -0.07000762224197388, 0.0031595821492373943, -0.04435919225215912, -0.08509326726198196, 0.05164451524615288, 0.05909162759780884, -0.15234461426734924, 0.16620241105556488, 0.0021526478230953217, -0.014075983315706253, 0.07865025848150253, 0.050737109035253525, -0.042939987033605576, -0.06998708099126816, 0.09795954823493958, -0.2788684070110321, 0.22523431479930878, 0.2076929211616516, 0.10107696801424026, 0.08264636993408203, 0.09582267701625824, 0.11401733756065369, -0.0565158911049366, 0.020622791722416878, -0.1593555510044098, -0.05346760153770447, -0.016210922971367836, 0.043453335762023926, 0.024538284167647362, -0.06355635076761246]",13
face_id_29,"[-0.06620729714632034, 0.02842508815228939, 0.11133112013339996, -0.022801464423537254, -0.0804644525051117, -0.008099319413304329, -0.011083981022238731, -0.17997410893440247, 0.1906949281692505, -0.18709337711334229, 0.281288206577301, -0.02822907269001007, -0.2507477402687073, -0.04380018636584282, -0.0410730317234993, 0.2305031567811966, -0.17791905999183655, -0.1637170910835266, -0.06670361757278442, -0.019783418625593185, 0.001249933266080916, 0.008597522042691708, 0.07208120822906494, -0.05121828243136406, -0.11852625012397766, -0.366066575050354, -0.08725226670503616, -0.010560081340372562, 0.038412418216466904, -0.0380854569375515, -0.11898801475763321, 0.06935548037290573, -0.19542549550533295, -0.06869703531265259, 0.07143472135066986, 0.10626207292079926, -0.05657630041241646, -0.08845832943916321, 0.1781429499387741, -0.022628434002399445, -0.2512874901294708, -0.029582181945443153, 0.0536075085401535, 0.203819140791893, 0.20583383738994598, 0.029591115191578865, 0.015688063576817513, -0.19267383217811584, 0.12328533083200455, -0.23156635463237762, -0.019719861447811127, 0.08255504071712494, 0.06470707803964615, 0.028101671487092972, -0.001982269575819373, -0.15062034130096436, -0.019302329048514366, 0.1189560517668724, -0.13694877922534943, -0.04642793908715248, 0.0740273967385292, -0.12018813192844391, -0.04684100300073624, -0.07746856659650803, 0.16302700340747833, 0.04149612411856651, -0.10719188302755356, -0.19896121323108673, 0.1533837467432022, -0.13451746106147766, -0.027166659012436867, 0.04665195196866989, -0.14240680634975433, -0.20338225364685059, -0.34887823462486267, -0.047772642225027084, 0.41349896788597107, 0.026544317603111267, -0.10490863025188446, 0.05395586043596268, -0.025415964424610138, 0.018989691510796547, 0.08289740234613419, 0.13707134127616882, 0.00861244648694992, 0.004212756175547838, -0.10407084226608276, -0.0008914779173210263, 0.21914170682430267, -0.15069971978664398, -0.01720801182091236, 0.1380331665277481, -0.05587596818804741, 0.06428906321525574, 0.014141218736767769, 0.11695896834135056, -0.111081063747406, 0.087966687977314, -0.1703265756368637, -0.009395269677042961, 0.010352544486522675, 0.0027372469194233418, 0.039643459022045135, 0.14030304551124573, -0.15307311713695526, 0.1007831022143364, -0.04407086968421936, -0.009275678545236588, 0.0984220802783966, -0.06218881532549858, -0.058813586831092834, -0.1422334611415863, 0.0814017578959465, -0.2800007164478302, 0.11466195434331894, 0.2626893222332001, -0.0160424392670393, 0.1496986746788025, 0.06398621946573257, 0.08583410829305649, -0.0017851520096883178, 0.07481992244720459, -0.23598966002464294, -0.04589248076081276, 0.040957458317279816, 0.0018567356746643782, 0.0037690489552915096, -0.015512882731854916]",15
face_id_30,"[-0.11244569718837738, 0.0472525954246521, 0.051065925508737564, -0.049699943512678146, -0.07252644747495651, -0.06674869358539581, -0.009152659215033054, -0.1948159784078598, 0.15671207010746002, -0.22911998629570007, 0.18480411171913147, -0.1048271432518959, -0.20815004408359528, 0.010183245874941349, -0.02934115193784237, 0.13612060248851776, -0.14438612759113312, -0.18907415866851807, -0.10025608539581299, 0.013705414719879627, 0.016441941261291504, -0.04779120907187462, 0.03963330760598183, 0.11305372416973114, -0.06808232516050339, -0.34971943497657776, -0.0812302827835083, -0.1447119563817978, 0.005387963727116585, -0.044252920895814896, -0.026838218793272972, 0.055891796946525574, -0.22237899899482727, -0.018151916563510895, -0.0500914491713047, -0.01019055675715208, -0.013061657547950745, -0.052543021738529205, 0.22821570932865143, -0.06193983182311058, -0.2844175696372986, -0.10989239066839218, 0.04120170325040817, 0.17173755168914795, 0.15477031469345093, 0.003293317509815097, 0.019991140812635422, -0.06450020521879196, 0.023963971063494682, -0.2989470660686493, 0.04080086946487427, 0.07172012329101562, 0.11153314262628555, 0.05568018555641174, -0.0010666103335097432, -0.22761401534080505, -0.0063606440089643, 0.010848171077668667, -0.11592882126569748, 0.007802347652614117, 0.04129280149936676, -0.03001292608678341, -0.07224290817975998, 0.022485915571451187, 0.35464075207710266, 0.18421077728271484, -0.12259942293167114, -0.11187039315700531, 0.2012002319097519, -0.19813929498195648, -0.003310899483039975, 0.05807080492377281, -0.1102723628282547, -0.15047946572303772, -0.22357140481472015, -0.03346918150782585, 0.3540823459625244, 0.03811504691839218, -0.1655450016260147, 0.012965940870344639, -0.1836952269077301, 0.03661148622632027, 0.022954896092414856, 0.07101818919181824, -0.06523795425891876, 0.028149910271167755, -0.017036516219377518, 0.01069056149572134, 0.20850642025470734, -0.07541873306035995, -0.04078545793890953, 0.19929741322994232, -0.013395342975854874, -0.04567703977227211, 0.04898465797305107, 0.029837440699338913, -0.009391880594193935, -0.030434835702180862, -0.13769932091236115, 0.0544157549738884, 0.03992143273353577, 0.003776423865929246, -0.057693470269441605, 0.13593511283397675, -0.24920573830604553, 0.10280648618936539, -0.03211582452058792, -0.07249590754508972, 0.0717235580086708, 0.04072143882513046, -0.11854729801416397, -0.14051386713981628, 0.12273353338241577, -0.23508483171463013, 0.16414083540439606, 0.16990545392036438, 0.014490265399217606, 0.1513766646385193, 0.017145734280347824, 0.06816288083791733, 0.04576293006539345, 0.018508879467844963, -0.20475146174430847, -0.04815461486577988, 0.16696658730506897, -0.03047802858054638, -0.04654712975025177, 0.0018356444779783487]",16
face_id_31,"[-0.14542743563652039, 0.17630727589130402, 0.04553122818470001, -0.05416586995124817, -0.02408858761191368, 0.005655198823660612, -0.09807757288217545, -0.11404640227556229, 0.17280520498752594, -0.08670792728662491, 0.20443502068519592, 0.07439826428890228, -0.18041758239269257, -0.1453736126422882, 0.017173105850815773, 0.09980237483978271, -0.20581288635730743, -0.10626944154500961, -0.14129185676574707, -0.08933675289154053, 0.037988223135471344, -0.0012071464443579316, 0.10087884217500687, 0.03146589919924736, -0.13875068724155426, -0.37435972690582275, -0.06457610428333282, -0.15788336098194122, 0.01927964575588703, -0.1501753330230713, -0.08423840254545212, -0.013102649711072445, -0.22024136781692505, -0.1110345646739006, -0.010981342755258083, 0.006572465877979994, 0.03196823596954346, 0.05046806484460831, 0.14758218824863434, 0.05726342648267746, -0.12319031357765198, 0.10395317524671555, -0.0013879233738407493, 0.23758187890052795, 0.29407384991645813, 0.08045311272144318, 0.0180366113781929, -0.0600268691778183, 0.09289225935935974, -0.22563436627388, 0.04046131670475006, 0.1675540804862976, 0.09909065067768097, 0.024217521771788597, 0.09001509100198746, -0.17285043001174927, -0.01740710437297821, 0.06312955170869827, -0.11134393513202667, 0.07943319529294968, 0.07118476927280426, -0.12214649468660355, -0.08731111884117126, 0.06437980383634567, 0.1642671376466751, 0.1047915518283844, -0.09755772352218628, -0.10310427099466324, 0.16354672610759735, -0.02918894961476326, 0.025888700038194656, 0.026373600587248802, -0.15055368840694427, -0.18001894652843475, -0.2160191833972931, 0.0588277168571949, 0.37408432364463806, 0.16812515258789062, -0.22645463049411774, -0.007654341869056225, -0.2422666847705841, 0.062101442366838455, 0.028183909133076668, -0.00409875949844718, -0.07511871308088303, -0.08934896439313889, -0.0766877830028534, 0.08554242551326752, 0.09104996919631958, 0.04932284355163574, -0.018777063116431236, 0.21710194647312164, 0.008053258992731571, 0.0536675788462162, 0.012799223884940147, 0.03474776819348335, -0.1396709680557251, -0.021188542246818542, -0.16056279838085175, -0.03083653189241886, -0.005156110506504774, -0.04571208730340004, 0.0025470471009612083, 0.0991748496890068, -0.19353127479553223, 0.09785455465316772, 0.016556723043322563, -0.02650943398475647, -0.02832045406103134, 0.04476693645119667, -0.04295114427804947, -0.006313112564384937, 0.08536376804113388, -0.24985352158546448, 0.2637314200401306, 0.28895097970962524, 0.02424641326069832, 0.15340162813663483, 0.0733293890953064, 0.011805273592472076, 0.02088962122797966, -0.015341958962380886, -0.14249588549137115, -0.09205403923988342, 0.013826293870806694, 0.0028149012941867113, 0.01893037185072899, 0.011537842452526093]",17
